name,Atlanta United FC,Austin FC,Charlotte SC,Chicago Fire FC,FC Cincinnati,Colorado Rapids,Columbus Crew SC,FC Dallas,D.C. United,Houston Dynamo FC,Inter Miami CF,LA Galaxy,Los Angeles FC,Minnesota United FC,CF Montréal,Nashville SC,New England Revolution,New York City FC,New York Red Bulls,Orlando City SC,Philadelphia Union,Portland Timbers,Real Salt Lake,San Jose Earthquakes,Seattle Sounders FC,Sporting Kansas City,St. Louis City SC,Toronto FC,Vancouver Whitecaps FC
Inter Miami CF,972.9556653310548,1790.5344437126835,1050.2150949527831,1911.57915484635,1532.6893406828926,2777.220668372434,1599.9308195843269,1803.3218722440922,1484.2409551593394,1553.5931939801353,,3762.9706525206057,3760.8680431295547,2425.595301242172,2276.9375938714725,1311.614573485865,1987.8103768571552,1769.062680825621,1752.7197591722768,326.94048776773724,1622.8441562886662,4352.530671209619,3350.537521588207,4116.576409232145,4393.219495880888,2014.0910944586576,1706.3805916568642,1986.887267092746,4508.400154849855
LA Galaxy,3113.895672562908,1977.878466907655,3408.1533027713226,2806.887998481557,3049.411329995596,1339.2840676736405,3176.307033982213,1986.9641454997886,3701.0035067356216,2214.244466962231,3762.9706525206057,,11.860792893467577,2455.8154101263713,3969.9392168098057,2863.4680588729916,4156.994219448819,3944.414820210839,3926.3608956096955,3540.60780346997,3829.2911418763765,1322.0956443898954,914.564278833955,482.74019411536466,1536.2908421848615,2161.5971904911826,2555.5781797526984,3499.1648141672035,1731.8638970462239
Los Angeles FC,3114.4267345790927,1975.1802638983334,3409.500397663369,2811.058845529796,3052.2818533111454,1344.4447620701835,3179.5549753799564,1986.2684788788338,3703.8806941353787,2211.6428492287173,3760.8680431295547,11.860792893467577,,2461.83830477792,3975.129968853369,2864.9740948884164,4161.0771912947175,3948.042096534286,3929.9528761113083,3539.3212325125423,3832.545580877222,1333.8234689444387,923.3004621251175,492.54092553098036,1548.1071629412045,2164.7491366346053,2558.275267493851,3503.792073319389,1743.6742904064783
Minnesota United FC,1453.3246130306204,1682.1553927562927,1502.6468175976797,564.0141979799462,965.7589120231347,1126.69577795952,996.1045495342323,1349.6384297457068,1497.0119216221956,1701.6184764720117,2425.595301242172,2455.8154101263713,2461.83830477792,,1532.4625286490393,1115.0920551012373,1788.4201735149766,1628.330580517321,1615.098217429372,2099.67440449625,1563.7326080856353,2301.015553872556,1601.06743050109,2535.5299378048467,2248.637886585778,662.9338810579987,744.9069743675423,1107.4042525431435,2302.078685216722
CF Montréal,1605.6324513640782,2702.1705004825485,1303.961141997266,1201.2551377928364,1151.0006990637278,2630.6852106850306,990.5792716665906,2417.4978846210415,796.4973964125032,2588.006048703179,2276.9375938714725,3969.9392168098057,3975.129968853369,1532.4625286490393,,1522.830551952028,427.98098290924213,527.7487030403088,539.4171109746285,2015.5021456182978,655.8418366866164,3766.084204081698,3133.2332209383735,4067.990755367689,3673.9118146844125,1882.565339260845,1571.3335816465697,505.62134628769303,3685.0960965326667
Nashville SC,344.7877912399174,1212.251234215359,546.1112474681801,637.8162609769732,382.4225867531623,1643.9526312292119,536.878017419892,978.5491951461516,914.9064108036488,1071.5808748393022,1311.614573485865,2863.4680588729916,2864.9740948884164,1115.0920551012373,1522.830551952028,,1488.8863581270366,1231.442644685651,1210.222048298881,986.9270815710398,1077.7236960840821,3165.13423920514,2236.2012450561456,3113.8245927661687,3171.7813213439754,780.6607174404419,407.69726989189087,1045.438885229825,3266.1330130205993
New England Revolution,1476.2118629813504,2700.9526531077745,1127.8055418456656,1350.3094324911824,1165.6291324397632,2826.371832677137,1013.6467374434695,2449.900345430047,601.4742321268454,2553.821381170022,1987.8103768571552,4156.994219448819,4161.0771912947175,1788.4201735149766,427.98098290924213,1488.8863581270366,,262.52561444368473,283.90687189419094,1762.9387890369762,427.76632926117884,4074.735573995375,3365.192372884075,4300.401781110996,3999.6519601582495,2010.0269548701958,1646.686506617377,681.0225057530853,4025.3279209835373
New York City FC,1214.1805775700345,2443.625219664648,868.6313526714761,1147.6774560853669,921.7732423494888,2623.1670412178155,776.4679941046696,2198.524082778129,339.7127971236922,2293.291165145624,1769.062680825621,3944.414820210839,3948.042096534286,1628.330580517321,527.7487030403088,1231.442644685651,262.52561444368473,,21.437682811895986,1526.9754012614324,166.37912927682498,3928.36769353641,3175.926583913132,4107.639390633297,3866.557569190703,1786.9546472457741,1411.2481263777886,545.4214314626438,3904.2236448685376
New York Red Bulls,1192.9657833376077,2422.3803928823104,847.9194055182231,1131.1222659718478,901.6891120668579,2605.9932344590234,757.0791565905447,2177.6712709720014,318.6325331838092,2271.885519495727,1752.7197591722768,3926.3608956096955,3929.9528761113083,1615.098217429372,539.4171109746285,1210.222048298881,283.90687189419094,21.437682811895986,,1508.9093217746272,145.56042952224763,3915.545155627082,3159.7806666664997,4091.1119159902955,3854.8120517067427,1768.3431839369437,1391.715165556382,536.9760611277031,3893.438998707073
Orlando City SC,646.49900380637,1593.929873073573,745.7389448232319,1584.8959741128301,1208.7386845638332,2495.005688305067,1282.3415150565206,1558.6809664017749,1219.1318605252532,1361.5276341477356,326.94048776773724,3540.60780346997,3539.3212325125423,2099.67440449625,2015.5021456182978,986.9270815710398,1762.9387890369762,1526.9754012614324,1508.9093217746272,,1371.2064225100848,4064.944741608436,3076.401607403334,3872.5755789014624,4097.032965964876,1706.0481575314498,1385.2812804162104,1690.8074951712983,4206.882279009922
Philadelphia Union,1048.4470773441876,2288.543173530116,702.3624597882074,1053.3424004374149,787.668631236059,2518.166336819408,652.9910560102416,2050.563084045607,173.7082251089763,2133.837975538776,1622.8441562886662,3829.2911418763765,3832.545580877222,1563.7326080856353,655.8418366866164,1077.7236960840821,427.76632926117884,166.37912927682498,145.56042952224763,1371.2064225100848,,3863.423923698394,3080.6107039695216,4007.915027644608,3811.2241828871547,1667.9355126747664,1282.3194848143767,537.9580216230872,3857.2353824821957
Portland Timbers,3491.0074984643957,2750.390229328098,3679.401319822527,2827.031701969296,3189.0999269249814,1576.7240282691919,3262.4063488317174,2597.53225599429,3786.3210726662087,2954.4591929602025,4352.530671209619,1322.0956443898954,1333.8234689444387,2301.015553872556,3766.084204081698,3165.13423920514,4074.735573995375,3928.36769353641,3915.545155627082,4064.944741608436,3863.423923698394,,1034.1509206453306,912.970176173511,232.2783642454218,2385.9580030408915,2768.87723760171,3397.917693643176,418.890694657043
Real Salt Lake,2540.2473642034365,1716.5781963007482,2774.1189290052357,2029.2201441829084,2335.23165775253,592.5464976204138,2438.6604547673305,1570.7069924618088,2973.6926368637387,1920.7288813272814,3350.537521588207,914.564278833955,923.3004621251175,1601.06743050109,3133.2332209383735,2236.2012450561456,3365.192372884075,3175.926583913132,3159.7806666664997,3076.401607403334,3080.6107039695216,1034.1509206453306,,936.2411681046812,1140.109681997963,1464.3015162253325,1866.9961438862892,2689.4790641111986,1307.3927651238173
San Jose Earthquakes,3393.8339691620886,2358.046509472659,3658.9355756951927,2959.994244290734,3249.606086754607,1492.6391688657582,3360.999263238745,2315.744956596627,3894.950625848234,2589.861700828113,4116.576409232145,482.74019411536466,492.54092553098036,2535.5299378048467,4067.990755367689,3113.8245927661687,4300.401781110996,4107.639390633297,4091.1119159902955,3872.5755789014624,4007.915027644608,912.970176173511,936.2411681046812,,1141.7465810325302,2364.515510832443,2768.282471589756,3625.5311451489606,1331.8582068766596
Seattle Sounders FC,3505.0002565244786,2847.84760183727,3671.6200967491554,2791.227408100806,3166.593967221692,1636.001473239698,3228.9789304727965,2671.2932210322415,3744.161014439796,3042.150933664172,4393.219495880888,1536.2908421848615,1548.1071629412045,2248.637886585778,3673.9118146844125,3171.7813213439754,3999.6519601582495,3866.557569190703,3854.8120517067427,4097.032965964876,3811.2241828871547,232.2783642454218,1140.109681997963,1141.7465810325302,,2399.731277166514,2769.0431691094936,3328.982924467524,195.77987810259938
Sporting Kansas City,1106.1145561053636,1020.5254526557067,1310.8711221603498,681.3328305151999,889.7914964639008,875.9853908890755,1014.9864370071119,687.7044833333327,1540.668263865897,1043.2576265209525,2014.0910944586576,2161.5971904911826,2164.7491366346053,662.9338810579987,1882.565339260845,780.6607174404419,2010.0269548701958,1786.9546472457741,1768.3431839369437,1706.0481575314498,1667.9355126747664,2385.9580030408915,1464.3015162253325,2364.515510832443,2399.731277166514,,404.12634954779645,1383.6504118061807,2502.763380043736
St. Louis City SC,751.0108925362724,1158.4424343426099,913.2217827768445,421.50267448679205,495.5935385763487,1279.9686325477855,634.9296801294852,852.6942690778317,1146.4494791676877,1094.7708941705534,1706.3805916568642,2555.5781797526984,2558.275267493851,744.9069743675423,1571.3335816465697,407.69726989189087,1646.686506617377,1411.2481263777886,1391.715165556382,1385.2812804162104,1282.3194848143767,2768.87723760171,1866.9961438862892,2768.282471589756,2769.0431691094936,404.12634954779645,,1065.763182641106,2860.339035533812
Toronto FC,1184.240638512422,2202.2174025613126,945.693769135052,703.6565458622673,664.5721312834099,2162.170208123524,508.95580856251036,1913.280385554327,567.7914771565081,2096.89167345955,1986.887267092746,3499.1648141672035,3503.792073319389,1107.4042525431435,505.62134628769303,1045.438885229825,681.0225057530853,545.4214314626438,536.9760611277031,1690.8074951712983,537.9580216230872,3397.917693643176,2689.4790641111986,3625.5311451489606,3328.982924467524,1383.6504118061807,1065.763182641106,,3362.309325203925
Vancouver Whitecaps FC,3603.563177851017,3001.634466430307,3753.5828107974135,2854.7611850204476,3238.9585029780205,1774.0554225725266,3292.4447397847575,2812.0098868607697,3798.728981132897,3189.929136866837,4508.400154849855,1731.8638970462239,1743.6742904064783,2302.078685216722,3685.0960965326667,3266.1330130205993,4025.3279209835373,3904.2236448685376,3893.438998707073,4206.882279009922,3857.2353824821957,418.890694657043,1307.3927651238173,1331.8582068766596,195.77987810259938,2502.763380043736,2860.339035533812,3362.309325203925,
