name,Atlanta United FC,Austin FC,Charlotte SC,Chicago Fire FC,FC Cincinnati,Colorado Rapids,Columbus Crew SC,FC Dallas,D.C. United,Houston Dynamo FC,Inter Miami CF,LA Galaxy,Los Angeles FC,Minnesota United FC,CF Montréal,Nashville SC,New England Revolution,New York City FC,New York Red Bulls,Orlando City SC,Philadelphia Union,Portland Timbers,Real Salt Lake,San Jose Earthquakes,Seattle Sounders FC,Sporting Kansas City,St. Louis City SC,Toronto FC,Vancouver Whitecaps FC
Inter Miami CF,9.539166666666667,19.503888888888888,10.5325,20.22388888888889,16.196666666666665,29.69361111111111,17.295555555555556,19.60527777777778,15.252777777777778,17.036666666666665,,39.471666666666664,40.025,26.33111111111111,24.10611111111111,13.685555555555556,21.86611111111111,18.717222222222222,18.420555555555556,3.395,16.961388888888887,47.48833333333334,36.93666666666667,44.08138888888889,49.16777777777778,21.971666666666668,18.149722222222223,21.9775,51.49638888888889
LA Galaxy,32.39944444444444,20.5975,35.524166666666666,29.680555555555557,32.735277777777775,15.381944444444445,32.911944444444444,21.389444444444443,39.32805555555556,22.815555555555555,39.471666666666664,,0.4502777777777778,28.063055555555554,42.06027777777778,30.485555555555557,43.895,41.17888888888889,40.97805555555556,36.29833333333333,40.75472222222222,15.001944444444444,9.955,5.456666666666667,17.651666666666667,23.446666666666665,27.27,36.99888888888889,20.09111111111111
Los Angeles FC,32.27472222222222,20.476666666666667,36.030277777777776,29.631666666666668,32.68611111111111,15.332777777777778,32.863055555555555,21.26888888888889,39.27916666666667,22.738611111111112,40.025,0.4502777777777778,,28.064444444444444,42.06166666666667,31.698055555555555,43.89666666666667,41.180277777777775,40.97944444444445,36.17666666666667,40.75611111111111,15.113055555555556,9.989722222222222,5.567777777777778,17.762777777777778,23.448055555555555,27.27138888888889,37.000277777777775,20.202222222222222
Minnesota United FC,16.429166666666667,16.848333333333333,17.601388888888888,6.023611111111111,10.405555555555555,12.974444444444444,11.315277777777778,14.0125,16.711388888888887,17.664722222222224,26.33111111111111,28.063055555555554,28.064444444444444,,18.848055555555554,12.730833333333333,20.608888888888888,17.8925,17.691666666666666,22.570833333333333,17.468333333333334,25.552222222222223,19.142777777777777,30.275,24.3225,6.6225,8.466111111111111,13.786666666666667,26.643333333333334
CF Montréal,18.662222222222223,28.932777777777776,15.023055555555555,12.981944444444444,12.533333333333333,26.971666666666668,11.0175,26.101666666666667,9.177222222222222,28.322777777777777,24.10611111111111,42.06027777777778,42.06166666666667,18.848055555555554,,16.64472222222222,5.536666666666667,5.929722222222222,6.0325,21.40388888888889,7.5325,43.72527777777778,33.17388888888889,44.30583333333333,43.07194444444445,20.289166666666667,16.745,5.43,45.39277777777778
Nashville SC,3.783888888888889,12.55,6.570277777777778,7.237777777777778,4.07,16.611944444444443,5.720277777777778,10.015833333333333,10.0125,11.94,13.685555555555556,30.485555555555557,31.698055555555555,12.730833333333333,16.64472222222222,,16.58888888888889,13.476944444444445,13.181944444444444,9.9125,11.74388888888889,34.53916666666667,23.9875,35.11972222222222,36.977222222222224,8.385833333333334,4.556388888888889,11.569444444444445,37.908055555555556
New England Revolution,16.42222222222222,29.040555555555557,12.783055555555556,14.759722222222223,13.050833333333333,28.80638888888889,11.601111111111111,26.506666666666668,6.937222222222222,27.364722222222223,21.86611111111111,43.895,43.89666666666667,20.608888888888888,5.536666666666667,16.58888888888889,,3.3280555555555558,3.743611111111111,19.075,5.242222222222222,45.51277777777778,34.96111111111111,46.093333333333334,44.849444444444444,21.44527777777778,17.718888888888888,8.398055555555555,47.17027777777778
New York City FC,13.273055555555555,25.92861111111111,9.633888888888889,12.043333333333333,10.169166666666667,26.09,8.589722222222223,23.39472222222222,4.001666666666667,24.2525,18.717222222222222,41.17888888888889,41.180277777777775,17.8925,5.929722222222222,13.476944444444445,3.3280555555555558,,0.5469444444444445,15.92361111111111,2.0525,42.78388888888889,32.23222222222222,43.364444444444445,42.120555555555555,18.550555555555555,14.824444444444444,7.868611111111111,44.44138888888889
New York Red Bulls,12.976666666666667,25.63361111111111,9.3375,11.949166666666667,9.873888888888889,25.889444444444443,8.38888888888889,23.099444444444444,3.705,23.9575,18.420555555555556,40.97805555555556,40.97944444444445,17.691666666666666,6.0325,13.181944444444444,3.743611111111111,0.5469444444444445,,15.68138888888889,1.8683333333333334,42.53638888888889,31.98472222222222,43.11694444444444,41.87305555555555,18.217777777777776,14.491388888888888,7.505833333333333,44.193888888888885
Orlando City SC,6.297777777777778,16.26222222222222,7.559166666666667,16.982222222222223,12.955,26.451944444444443,14.322222222222223,16.363611111111112,12.279444444444444,13.795,3.395,36.29833333333333,36.17666666666667,22.570833333333333,21.40388888888889,9.9125,19.075,15.92361111111111,15.68138888888889,,14.086944444444445,44.29666666666667,33.745,40.889722222222225,46.09111111111111,18.895,15.073055555555555,19.103055555555557,48.41972222222222
Philadelphia Union,11.5175,24.195555555555554,7.878333333333333,11.715,8.863888888888889,25.566666666666666,7.488611111111111,21.661666666666665,2.246111111111111,22.519444444444446,16.961388888888887,40.75472222222222,40.75611111111111,17.468333333333334,7.5325,11.74388888888889,5.242222222222222,2.0525,1.8683333333333334,14.086944444444445,,42.35916666666667,31.8075,42.93972222222222,41.69583333333333,17.313333333333333,13.586944444444445,7.839444444444444,44.016666666666666
Portland Timbers,38.23083333333334,31.68888888888889,40.85,31.17527777777778,34.7225,19.44,35.742222222222225,30.352222222222224,41.61388888888889,33.84361111111111,47.48833333333334,15.001944444444444,15.113055555555556,25.552222222222223,43.72527777777778,34.53916666666667,45.51277777777778,42.78388888888889,42.53638888888889,44.29666666666667,42.35916666666667,,11.593055555555555,10.45111111111111,2.7752777777777777,26.214166666666667,29.961388888888887,38.528333333333336,5.215
Real Salt Lake,27.679166666666667,20.33888888888889,31.10333333333333,20.62361111111111,24.170833333333334,8.108888888888888,25.190555555555555,18.944166666666668,31.0625,22.396944444444443,36.93666666666667,9.955,9.989722222222222,19.142777777777777,33.17388888888889,23.9875,34.96111111111111,32.23222222222222,31.98472222222222,33.745,31.8075,11.593055555555555,,11.508333333333333,12.649444444444445,15.601111111111111,19.348333333333333,27.915277777777778,14.970277777777778
San Jose Earthquakes,36.316944444444445,25.54,40.0725,31.75583333333333,35.30305555555555,19.224166666666665,36.32277777777778,26.331944444444446,42.19444444444444,27.758055555555554,44.08138888888889,5.456666666666667,5.567777777777778,30.275,44.30583333333333,35.11972222222222,46.093333333333334,43.364444444444445,43.11694444444444,40.889722222222225,42.93972222222222,10.45111111111111,11.508333333333333,,13.040555555555555,26.797777777777778,30.545,39.11194444444445,15.543333333333333
Seattle Sounders FC,39.329166666666666,32.78944444444444,41.840555555555554,30.262777777777778,34.645,20.072222222222223,35.55444444444444,31.45277777777778,40.950833333333335,34.94416666666667,49.16777777777778,17.651666666666667,17.762777777777778,24.3225,43.07194444444445,36.977222222222224,44.849444444444444,42.120555555555555,41.87305555555555,46.09111111111111,41.69583333333333,2.7752777777777777,12.649444444444445,13.040555555555555,,27.280555555555555,31.497777777777777,38.013333333333335,2.6036111111111113
Sporting Kansas City,12.0775,10.351111111111111,14.856111111111112,7.840277777777778,9.003333333333334,8.361944444444445,10.079166666666667,7.724444444444444,16.481666666666666,11.263333333333334,21.971666666666668,23.446666666666665,23.448055555555555,6.6225,20.289166666666667,8.385833333333334,21.44527777777778,18.550555555555555,18.217777777777776,18.895,17.313333333333333,26.214166666666667,15.601111111111111,26.797777777777778,27.280555555555555,,3.9155555555555557,15.130833333333333,29.702222222222222
St. Louis City SC,8.247777777777777,12.596111111111112,11.034166666666666,4.453611111111111,5.277222222222222,12.185,6.355833333333333,9.575277777777778,12.755277777777778,12.1425,18.149722222222223,27.27,27.27138888888889,8.466111111111111,16.745,4.556388888888889,17.718888888888888,14.824444444444444,14.491388888888888,15.073055555555555,13.586944444444445,29.961388888888887,19.348333333333333,30.545,31.497777777777777,3.9155555555555557,,11.601944444444445,33.43611111111111
Toronto FC,14.33,23.871388888888887,11.705277777777777,8.058055555555555,7.623611111111111,21.91,6.566666666666666,21.040277777777778,8.529444444444444,23.261388888888888,21.9775,36.99888888888889,37.000277777777775,13.786666666666667,5.43,11.569444444444445,8.398055555555555,7.868611111111111,7.505833333333333,19.103055555555557,7.839444444444444,38.528333333333336,27.915277777777778,39.11194444444445,38.013333333333335,15.130833333333333,11.601944444444445,,40.344722222222224
Vancouver Whitecaps FC,41.61888888888889,35.110277777777775,44.16138888888889,32.58361111111111,36.965833333333336,22.393055555555556,37.875277777777775,33.77361111111111,43.27166666666667,37.220555555555556,51.49638888888889,20.09111111111111,20.202222222222222,26.643333333333334,45.39277777777778,37.908055555555556,47.17027777777778,44.44138888888889,44.193888888888885,48.41972222222222,44.016666666666666,5.215,14.970277777777778,15.543333333333333,2.6036111111111113,29.702222222222222,33.43611111111111,40.344722222222224,
