Origin,Destination,Travel Time (hrs)
CVG,BNA,0.5276667324693177
CVG,BOS,1.7241028900198334
CVG,LGA,1.3418850034937035
CVG,EWR,1.3040822252515794
CVG,MCO,1.7434831019832946
CVG,PHL,1.1622582389740665
CVG,PDX,4.530020182242194
CVG,SLC,3.3255917815874856
CVG,SJC,4.6268467230677635
CVG,SEA,4.506027135327001
CVG,MCI,1.2378288743867556
CVG,STL,0.7065625790104205
CVG,YYZ,0.9493758100146206
CVG,YVR,4.619199129175134
DEN,CMH,2.6469859086119083
DEN,DFW,1.4724559545441924
DEN,DCA,3.383906017907407
DEN,IAH,1.9802634799358443
DEN,FLL,3.9120410971181037
DEN,LAX,1.9780868957858249
DEN,LAX,1.9780868957858249
DEN,MSP,1.5617588975885377
DEN,YUL,3.696297419155016
DEN,BNA,2.3256464132166537
DEN,BOS,4.022568546528167
DEN,LGA,3.71440971709398
DEN,EWR,3.680389256179962
DEN,MCO,3.5510939549183336
DEN,PHL,3.5722649604111996
DEN,PDX,2.2752951167104456
DEN,SLC,0.8966172367279793
DEN,SJC,2.1744902544798874
DEN,SEA,2.35131364807743
DEN,MCI,1.221950021308304
DEN,STL,1.7658826422163016
DEN,YYZ,3.017064798789755
DEN,YVR,2.5572425608281213
CMH,DFW,2.1267368773158544
CMH,DCA,0.7399222676916047
CMH,IAH,2.2650092519557297
CMH,FLL,2.241569827906214
CMH,LAX,4.57743334507265
CMH,LAX,4.57743334507265
CMH,MSP,1.4368075088006802
CMH,YUL,1.3741802935632779
CMH,BNA,0.7745885693090909
CMH,BOS,1.4681002924969366
CMH,LGA,1.097576202943809
CMH,EWR,1.0606135484035522
CMH,MCO,1.8490225835830825
CMH,PHL,0.931705370896944
CMH,PDX,4.663157797179201
CMH,SLC,3.504795280200674
CMH,SJC,4.820229872905157
CMH,SEA,4.623510313604912
CMH,MCI,1.4492447692637516
CMH,STL,0.9388744480460748
CMH,YYZ,0.7011480246745758
CMH,YVR,4.72189726776841
DFW,DCA,2.734913363200852
DFW,IAH,0.5166115821730487
DFW,FLL,2.5703448479051847
DFW,LAX,2.832799300072076
DFW,LAX,2.832799300072076
DFW,MSP,1.9608334403439898
DFW,YUL,3.4734636586793464
DFW,BNA,1.4504703662553173
DFW,BOS,3.5842786656941477
DFW,LGA,3.1874969103076425
DFW,EWR,3.148937619836873
DFW,MCO,2.261025578872445
DFW,PHL,2.9899716204354787
DFW,PDX,3.7093674257673
DFW,SLC,2.269757415112
DFW,SJC,3.299864005708911
DFW,SEA,3.811166191378835
DFW,MCI,1.059132332777895
DFW,STL,1.264309235428147
DFW,YYZ,2.7555432599484875
DFW,YVR,4.026646215848492
DCA,IAH,2.772004609831647
DCA,FLL,2.0721323468877992
DCA,LAX,5.300523052773147
DCA,LAX,5.300523052773147
DCA,MSP,2.1348905989746103
DCA,YUL,1.119657498848645
